Iteration,Accuracy (approx),Average Population Generality,Macropopulation Size,Micropopulation Size,Match Set Size,Action Set Size,Average Iteration Age of Action Set Classifiers,# Classifiers Subsumed in Iteration,# Crossover Operations Performed in Iteration,# Mutation Operations Performed in Iteration,# Covering Operations Performed in Iteration,# Deletion Operations Performed in Iteration,Total Global Time,Total Matching Time,Total Deletion Time,Total Subsumption Time,Total GA Time,Total Evaluation Time
153,0.58,0,142,151,4,1,0.0,0,0,0,1,0,0.09300065040588379,0.015999555587768555,0.0,0.0029997825622558594,0.0009999275207519531,0.0010004043579101562
154,0.58,0,144,153,8,6,73.33333333333333,0,1,1,0,0,0.09300065040588379,0.015999555587768555,0.0,0.0029997825622558594,0.0009999275207519531,0.0010004043579101562
155,0.6,0,144,153,6,4,108.5,0,0,0,0,0,0.09300065040588379,0.015999555587768555,0.0,0.0029997825622558594,0.0009999275207519531,0.0010004043579101562
156,0.6,0,145,155,8,2,40.0,0,0,1,0,0,0.09400057792663574,0.016999483108520508,0.0,0.0029997825622558594,0.0009999275207519531,0.0010004043579101562
157,0.6,0,146,156,5,3,88.5,0,0,0,1,0,0.09400057792663574,0.016999483108520508,0.0,0.0029997825622558594,0.0009999275207519531,0.0010004043579101562
158,0.6,0,147,157,4,3,63.0,0,0,0,1,0,0.09400057792663574,0.016999483108520508,0.0,0.0029997825622558594,0.0009999275207519531,0.0010004043579101562
159,0.58,0,148,158,4,3,116.25,0,0,0,1,0,0.09400057792663574,0.016999483108520508,0.0,0.0029997825622558594,0.0009999275207519531,0.0010004043579101562
160,0.58,0,150,160,8,5,68.83333333333333,0,1,0,0,0,0.0950002670288086,0.01799917221069336,0.0,0.0029997825622558594,0.0009999275207519531,0.0010004043579101562
161,0.58,0,150,160,6,4,28.19999999999999,0,0,0,0,0,0.0950002670288086,0.01799917221069336,0.0,0.0029997825622558594,0.0009999275207519531,0.0010004043579101562
162,0.6,0,150,160,9,7,94.0,0,0,0,0,0,0.0950002670288086,0.01799917221069336,0.0,0.0029997825622558594,0.0009999275207519531,0.0010004043579101562
163,0.6,0,150,160,6,3,88.0,0,0,0,0,0,0.0950002670288086,0.01799917221069336,0.0,0.0029997825622558594,0.0009999275207519531,0.0010004043579101562
164,0.6,0,153,163,5,3,58.66666666666667,0,1,0,1,0,0.09600067138671875,0.018999576568603516,0.0,0.0029997825622558594,0.0009999275207519531,0.0010004043579101562
165,0.6,0,153,163,7,5,85.2,0,0,0,0,0,0.09600067138671875,0.018999576568603516,0.0,0.0029997825622558594,0.0009999275207519531,0.0010004043579101562
166,0.6,0,155,165,5,2,139.33333333333334,0,0,1,0,0,0.09600067138671875,0.018999576568603516,0.0,0.0029997825622558594,0.0009999275207519531,0.0010004043579101562
167,0.6,0,155,165,6,3,121.5,0,0,0,0,0,0.0970003604888916,0.019999265670776367,0.0,0.0029997825622558594,0.0009999275207519531,0.0010004043579101562
168,0.62,0,155,165,13,9,112.18181818181819,0,0,0,0,0,0.0970003604888916,0.019999265670776367,0.0,0.0029997825622558594,0.0009999275207519531,0.0010004043579101562
169,0.62,0,157,167,8,4,107.4,0,1,0,0,0,0.0970003604888916,0.019999265670776367,0.0,0.0029997825622558594,0.0009999275207519531,0.0010004043579101562
